GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
auth-server,com.mapview.ms.auth.request,RequestAccountDetails,0,26,0,0,0,12,0,6,0,6
auth-server,com.mapview.ms.auth.request,RequestObject,0,10,0,0,0,4,0,3,0,3
auth-server,com.mapview.ms.auth.request,ChangePasswordRequest,0,10,0,0,0,4,0,3,0,3
auth-server,com.mapview.ms.auth.request,UpdateCustomerIpRequest,0,17,0,0,0,7,0,5,0,5
auth-server,com.mapview.ms.auth.request,UpdateUserStatusRequest,0,16,0,0,0,1,0,1,0,1
auth-server,com.mapview.ms.auth.request,RequestAccountDetailsBuilder,0,48,0,2,0,15,0,6,0,5
auth-server,com.mapview.ms.auth.request,ResetPasswordRequest,0,14,0,0,0,5,0,4,0,4
auth-server,com.mapview.ms.auth.request,UpdateUserNVPRequest,0,17,0,0,0,7,0,5,0,5
auth-server,com.mapview.ms.auth.request,AdminChangeUserPasswordRequest,0,19,0,0,0,7,0,5,0,5
auth-server,com.mapview.ms.auth.request,UnlockUserRequest,0,10,0,0,0,4,0,3,0,3
auth-server,com.mapview.ms.auth.request,UpdateUserRequest,0,23,0,4,0,4,0,4,0,2
auth-server,com.mapview.ms.auth.request,RequestSelectRole,0,23,0,0,0,8,0,6,0,6
auth-server,com.mapview.ms.auth.enhancer,AbstractTokenConverter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
auth-server,com.mapview.ms.auth.enhancer,AbstractTokenConverter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
auth-server,com.mapview.ms.auth.enhancer,AbstractTokenConverter,67,405,8,36,12,87,9,32,3,16
auth-server,com.mapview.ms.auth.service.lnaa.beans.unlock,LNAAAdminUnlockUserRequest,1,112,0,2,1,25,1,9,1,8
auth-server,com.mapview.ms.auth.service.lnaa.beans.unlock,LNAAAdminUnlockUserData,0,83,0,2,0,21,0,10,0,9
auth-server,com.mapview.ms.auth.controller,SSOController,0,43,0,4,0,11,0,5,0,3
auth-server,com.mapview.ms.auth.controller,AuthServerController,39,346,1,7,3,70,2,20,1,17
auth-server,com.mapview.ms.auth.controller,UserRequest,8,36,0,0,1,16,1,8,1,8
auth-server,com.mapview.ms.auth.service.lnaa.beans.update.status,LNAAUpdateUserStatusRequest,9,178,2,12,1,39,2,16,0,11
auth-server,com.mapview.ms.auth.service.lnaa.beans.update.status,LNAAUpdateUserStatusData,0,166,0,14,0,35,0,20,0,13
auth-server,com.mapview.ms.auth.service.lnaa.beans.add,LNAAAddUserRequest,0,229,0,12,0,51,0,21,0,15
auth-server,com.mapview.ms.auth.service.lnaa.beans.add,LNAAAddUserData,0,356,0,26,0,69,0,36,0,23
auth-server,com.mapview.ms.auth.service.lnaa.beans.add,LNAAAddUserResponse,0,103,0,12,0,21,0,13,0,7
auth-server,com.mapview.ms.auth.service.lnaa.beans.detail,LNNAUserDetail,0,97,0,8,0,20,0,11,0,7
auth-server,com.mapview.ms.auth.service.lnaa.beans.detail,LNAAGetUserResponse,6,97,0,8,3,20,1,11,1,7
auth-server,com.mapview.ms.auth.service.lnaa.beans.detail,LNAAGetUserRequest,0,164,0,12,0,35,0,17,0,11
auth-server,com.mapview.ms.auth.service.lnaa.beans.detail,LNAAGetUserData,6,148,0,12,3,29,1,17,1,11
auth-server,com.mapview.ms.auth.config.properties,DatabaseProperties,0,9,0,0,0,2,0,2,0,2
auth-server,com.mapview.ms.auth.config.properties,AwsProperties,0,22,0,0,0,4,0,4,0,4
auth-server,com.mapview.ms.auth.service.lnaa.beans.update,LNAAUpdateUserData,6,195,0,16,3,39,1,23,1,15
auth-server,com.mapview.ms.auth.service.lnaa.beans.update,LNAAUpdateValue,0,121,1,11,0,29,1,15,0,10
auth-server,com.mapview.ms.auth.service.lnaa.beans.update,LNAAUpdateUserResponse,6,97,0,8,3,23,1,11,1,7
auth-server,com.mapview.ms.auth.service.lnaa.beans.update,LNAAUpdateUserRequest,0,242,0,10,0,59,0,20,0,15
auth-server,com.mapview.ms.auth.annotations,ValidationUtils,3,81,0,18,1,21,1,13,1,4
auth-server,com.mapview.ms.auth.annotations,ValidSpecialStringValidator,0,6,0,0,0,2,0,2,0,2
auth-server,com.mapview.ms.auth.annotations,ValidUsernameVaildator,0,10,0,0,0,3,0,3,0,3
auth-server,com.mapview.ms.auth.annotations,AuthPrivilegesAspect,0,56,0,6,0,13,0,7,0,4
auth-server,com.mapview.ms.auth.annotations,ValidStringValidator,5,97,3,21,3,22,3,13,0,4
auth-server,com.mapview.ms.auth.annotations,ValidIdCheckValidator,18,93,3,17,3,24,3,12,0,5
auth-server,com.mapview.ms.auth.response,GetUserResponse,0,22,0,0,0,9,0,6,0,6
auth-server,com.mapview.ms.auth.response,BaseServiceResponse,0,18,0,0,0,8,0,5,0,5
auth-server,com.mapview.ms.auth.response,UpdateUserStatusResponse,3,21,0,0,1,8,1,3,1,3
auth-server,com.mapview.ms.auth.response,CreateUserResponse,0,8,0,0,0,4,0,2,0,2
auth-server,com.mapview.ms.auth.response,GetUserResponseBuilder,0,90,0,2,0,32,0,5,0,4
auth-server,com.mapview.ms.auth.response,UpdateUserResponse,0,8,0,0,0,4,0,2,0,2
auth-server,com.mapview.ms.auth.response,ChangePasswordResponse,3,18,0,0,1,7,1,3,1,3
auth-server,com.mapview.ms.auth.response,CustomerIpAddressResponse,0,38,0,0,0,16,0,11,0,11
auth-server,com.mapview.ms.auth.response,GoogleCaptchaResponse,0,41,0,0,0,15,0,10,0,10
auth-server,com.mapview.ms.auth.response,CreateBatchResponse,0,24,0,0,0,9,0,4,0,4
auth-server,com.mapview.ms.auth.response,AdminChangeUserPasswordResponse,0,21,0,0,0,8,0,4,0,4
auth-server,com.mapview.ms.auth.response,UnlockUserResponse,0,21,0,0,0,8,0,4,0,4
auth-server,com.mapview.ms.auth.response,ResetPasswordResponse,0,8,0,0,0,4,0,2,0,2
auth-server,com.mapview.ms.auth.service.lnaa,LNAASearchField,0,24,0,0,0,10,0,7,0,7
auth-server,com.mapview.ms.auth.service.lnaa,UserServiceLNAA,16,1224,4,38,3,297,4,51,0,34
auth-server,com.mapview.ms.auth.service.lnaa,LNAAException,0,4,0,0,0,2,0,1,0,1
auth-server,com.mapview.ms.auth.service.lnaa,LNAARestTemplate,0,36,0,0,0,9,0,3,0,3
auth-server,com.mapview.ms.auth.service.lnaa,LNAARestClient.ServiceEndpoint,0,125,0,0,0,20,0,5,0,5
auth-server,com.mapview.ms.auth.service.lnaa,LNAASearchCriteria,0,31,0,0,0,13,0,9,0,9
auth-server,com.mapview.ms.auth.service.lnaa,LNAARestClient,27,133,0,0,6,28,3,15,3,15
auth-server,com.mapview.ms.auth.service.lnaa,LNAASettings,4,44,0,2,2,16,1,13,1,12
auth-server,com.mapview.ms.auth.service.lnaa,LNAASession,0,90,0,12,0,19,0,12,0,6
auth-server,com.mapview.ms.auth.service.lnaa,LNAARestTemplate.new TrustStrategy() {...},0,5,0,0,0,2,0,2,0,2
auth-server,com.mapview.ms.auth.config,CaptchaSettings,0,12,0,0,0,5,0,4,0,4
auth-server,com.mapview.ms.auth.service.lnaa.beans.password.user,LNAAAdminResetPasswordRequest,1,120,0,2,1,27,1,9,1,8
auth-server,com.mapview.ms.auth.service.lnaa.beans.password.user,LNAAAdminChangeUserPasswordData,0,282,0,22,0,55,0,32,0,21
auth-server,com.mapview.ms.auth.service.lnaa.beans.password.user,LNAAAdminChangeUserPasswordRequest,0,194,1,13,0,42,1,17,0,11
auth-server,com.mapview.ms.auth.service.lnaa.beans.login,LNAALoginResponse,0,132,0,14,0,26,0,16,0,9
auth-server,com.mapview.ms.auth.service.lnaa.beans.login,LNAALoginRequest,5,294,1,27,1,63,1,32,0,19
auth-server,com.mapview.ms.auth.service,CaptchaService,0,87,0,2,0,22,0,5,0,4
auth-server,com.mapview.ms.auth.service,IpFilteringService,3,48,0,4,2,11,0,7,0,5
auth-server,com.mapview.ms.auth.service,UserServiceType,0,21,0,0,0,4,0,1,0,1
auth-server,com.mapview.ms.auth.service,OauthClientDetailsServiceImpl,15,71,0,4,2,19,2,9,2,7
auth-server,com.mapview.ms.auth.service,UserServiceSSOImpl,35,847,8,60,8,184,8,50,0,24
auth-server,com.mapview.ms.auth.service,AuthenticationLoggingService,0,140,0,0,0,30,0,7,0,7
auth-server,com.mapview.ms.auth.service,UserServiceFactoryImpl,6,36,1,5,1,7,1,4,0,2
auth-server,com.mapview.ms.auth.service,UserAdapterService,0,159,0,6,0,23,0,19,0,16
auth-server,com.mapview.ms.auth.service,UserServiceImpl,5,284,1,5,0,66,2,20,1,18
auth-server,com.mapview.ms.auth.service,CustomerIpAddressServiceImpl,0,171,0,6,0,44,0,14,0,11
auth-server,com.mapview.ms.auth.service.lnaa.beans.nvp,LNAAUpdateUserNVPRequest,1,203,2,12,1,47,3,16,1,11
auth-server,com.mapview.ms.auth.service.lnaa.beans.nvp,LNAAUpdateUserNVPData,0,166,0,14,0,33,0,20,0,13
auth-server,com.mapview.ms.auth.service.lnaa.beans.nvp,LNAAUpdateUserNVP,0,111,0,12,0,24,0,15,0,9
auth-server,com.mapview.ms.auth.beans,NVPName,0,27,0,0,0,5,0,1,0,1
auth-server,com.mapview.ms.auth.beans,GrantType,0,42,0,0,0,6,0,3,0,3
auth-server,com.mapview.ms.auth.beans,LNAAEncode,0,110,0,4,0,18,0,8,0,6
auth-server,com.mapview.ms.auth.beans,UserDto,0,23,0,0,0,8,0,1,0,1
auth-server,org.springframework.security.oauth2.provider.endpoint,TokenEndpoint,0,397,7,41,0,77,7,36,0,19
auth-server,com.mapview.ms.auth.entity,SSOUser,7,100,0,0,2,32,1,14,1,14
auth-server,com.mapview.ms.auth.entity,OauthClientDetails,8,163,0,2,3,54,2,33,2,32
auth-server,com.mapview.ms.auth.entity,UserSearchResponse,0,32,0,0,0,11,0,6,0,6
auth-server,com.mapview.ms.auth.entity,UserRole,0,44,0,0,0,17,0,9,0,9
auth-server,com.mapview.ms.auth.entity,UserAccountDetailsBuilder,0,77,0,2,0,25,0,11,0,10
auth-server,com.mapview.ms.auth.entity,UserRequestResponseBuilder,0,106,0,4,0,34,0,15,0,13
auth-server,com.mapview.ms.auth.entity,RoleBundle,0,32,0,0,0,13,0,7,0,7
auth-server,com.mapview.ms.auth.entity,AccessTokenBuilder,0,101,0,0,0,34,0,17,0,17
auth-server,com.mapview.ms.auth.entity,User,0,211,0,0,0,73,0,33,0,33
auth-server,com.mapview.ms.auth.entity,UserStatus,0,35,0,0,0,8,0,3,0,3
auth-server,com.mapview.ms.auth.entity,RecordStatus,3,25,0,0,1,6,1,2,1,2
auth-server,com.mapview.ms.auth.entity,CustomerIpAddress,0,52,0,0,0,22,0,15,0,15
auth-server,com.mapview.ms.auth.entity,OauthClientDetailsBuilder,5,44,0,0,2,12,1,7,1,7
auth-server,com.mapview.ms.auth.entity,UserDetailsBuilder,0,23,0,0,0,8,0,4,0,4
auth-server,com.mapview.ms.auth.utils.saml,SamlAuthenticationFailureHandler,0,45,0,0,0,12,0,4,0,4
auth-server,com.mapview.ms.auth.utils.saml,SamlAuthenticationSuccessHandler,35,158,0,2,6,28,1,7,1,6
auth-server,com.mapview.ms.auth.service.saml,SAMLContextProviderLBImpl,0,83,1,7,0,20,1,6,0,3
auth-server,com.mapview.ms.auth.service.saml,SAMLUserDetailsServiceImpl,7,129,2,10,2,24,2,9,0,5
auth-server,com.mapview.ms.auth.exceptions,SecretNotFoundException,0,16,0,0,0,8,0,4,0,4
auth-server,com.mapview.ms.auth.exceptions,KeySecretNotFoundException,0,16,0,0,0,8,0,4,0,4
auth-server,com.mapview.ms.auth.exceptions,ExceptionResponse,3,51,0,0,2,19,1,7,1,7
auth-server,com.mapview.ms.auth.exceptions,ErrorCode,2,189,1,7,1,29,1,9,0,6
auth-server,com.mapview.ms.auth.exceptions,ErrorHandler,26,192,0,2,4,32,1,9,1,8
auth-server,com.mapview.ms.auth.exceptions,LNAAAuthenticationException,4,108,0,0,2,27,1,10,1,10
auth-server,com.mapview.ms.auth.exceptions,LNAAValidationErrorCode,0,94,0,8,0,18,0,10,0,6
auth-server,com.mapview.ms.auth.exceptions,MapviewGlobalException,0,40,0,0,0,14,0,7,0,7
auth-server,com.mapview.ms.auth.exceptions,AuthenticationStatus,0,118,0,4,0,20,0,7,0,5
auth-server,com.mapview.ms.auth.service.lnaa.beans.search,LNAASearchReturnDataFlags,0,24,0,0,0,10,0,7,0,7
auth-server,com.mapview.ms.auth.service.lnaa.beans.search,LNAAUserSearchData,0,52,0,0,0,22,0,15,0,15
auth-server,com.mapview.ms.auth.service.lnaa.beans.search,LNAAUserSearchDataPaging,3,35,0,0,1,15,1,10,1,10
auth-server,com.mapview.ms.auth.service.lnaa.beans.search,LNAAUserSearchCounts,0,17,0,0,0,7,0,5,0,5
auth-server,com.mapview.ms.auth.service.lnaa.beans.search,LNAAUserSearchRequest,45,307,3,19,11,61,3,18,0,10
auth-server,com.mapview.ms.auth.service.lnaa.beans.search,LNAASearchData,0,24,0,0,0,10,0,7,0,7
auth-server,com.mapview.ms.auth.service.lnaa.beans.search,LNAAAdminSearchUserResponse,0,10,0,0,0,4,0,3,0,3
auth-server,com.mapview.ms.auth.converter,ListConverter.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
auth-server,com.mapview.ms.auth.converter,ListConverter,0,61,0,0,0,12,0,4,0,4
auth-server,com.mapview.ms.auth.enhancer.impl,SymmetricTokenConverter,0,11,0,0,0,5,0,2,0,2
auth-server,com.mapview.ms.auth.enhancer.impl,AsymmetricTokenConverter,23,118,0,0,2,23,2,7,2,7
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAUserRole,0,106,0,12,0,22,0,18,0,12
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAServiceRequest,0,3,0,0,0,1,0,1,0,1
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAARequestSession,0,78,0,8,0,19,0,11,0,7
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAUserGroup,0,140,0,14,0,29,0,18,0,11
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAStatus,0,124,0,12,0,29,0,16,0,10
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAServiceResponse,0,111,0,12,0,24,0,15,0,9
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAUserLoginData,0,257,0,22,0,47,0,30,0,19
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAUserInfo,0,256,0,22,0,49,0,30,0,19
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAUserNVP,0,173,0,16,0,34,0,21,0,13
auth-server,com.mapview.ms.auth.service.lnaa.beans,LNAAUserData,0,254,1,23,0,54,1,30,0,19
auth-server,com.mapview.ms.auth.security,XSSFilter,4,98,1,7,3,29,3,10,2,7
auth-server,com.mapview.ms.auth.security,CustomOAuth2ExceptionTranslator,0,70,0,2,0,15,0,3,0,2
auth-server,com.mapview.ms.auth.security,UserDetailAuthenticationConverter,0,127,0,4,0,31,0,7,0,5
auth-server,com.mapview.ms.auth.security,SamlS3Resource,0,53,0,4,0,12,0,8,0,6
auth-server,com.mapview.ms.auth.security,UserDetailInfo,10,45,0,0,4,18,3,9,3,9
auth-server,com.mapview.ms.auth.security,AuthenticationProviderLNAA,27,212,2,16,3,43,2,16,0,9
auth-server,com.mapview.ms.auth.security,IpAddressFilterChain,4,152,2,8,1,36,2,11,0,8
auth-server,com.mapview.ms.auth.security,CapchaFilterChain,4,130,2,8,1,32,2,9,0,6
auth-server,com.mapview.ms.auth.security,MvgUsernamePasswordAuthenticationToken,0,12,0,0,0,4,0,2,0,2
auth-server,com.mapview.ms.auth.utils,LNAAUtils,3,157,0,16,1,27,1,16,1,8
auth-server,com.mapview.ms.auth.utils,TokenUtils,3,68,0,0,1,13,1,1,1,1
auth-server,com.mapview.ms.auth.utils,XSSUtils,5,89,2,22,1,21,3,13,1,3
auth-server,com.mapview.ms.auth.secrets,RotateKeyStore,0,152,0,0,0,35,0,9,0,9
auth-server,com.mapview.ms.auth.secrets,JwtKubernetesSecret,5,277,1,7,1,55,1,23,0,20
auth-server,com.mapview.ms.auth.secrets,KeyPairFile,0,174,0,0,0,49,0,10,0,10
